tpep_pickup_date;tpep_pickup_hour;region;count
2015-05-01;0;1230;841
2015-05-01;1;1230;573
2015-05-01;2;1230;331
2015-05-01;3;1230;205
2015-05-01;4;1230;163
2015-05-01;5;1230;170
2015-05-01;6;1230;372
2015-05-01;7;1230;597
2015-05-01;8;1230;930
2015-05-01;9;1230;918
2015-05-01;10;1230;870
2015-05-01;11;1230;1048
2015-05-01;12;1230;1050
2015-05-01;13;1230;975
2015-05-01;14;1230;953
2015-05-01;15;1230;778
2015-05-01;16;1230;599
2015-05-01;17;1230;686
2015-05-01;18;1230;810
2015-05-01;19;1230;1100
2015-05-01;20;1230;1226
2015-05-01;21;1230;1110
2015-05-01;22;1230;1206
2015-05-01;23;1230;1157
2015-05-02;0;1230;1042
2015-05-02;1;1230;847
2015-05-02;2;1230;501
2015-05-02;3;1230;372
2015-05-02;4;1230;304
2015-05-02;5;1230;174
2015-05-02;6;1230;174
2015-05-02;7;1230;215
2015-05-02;8;1230;379
2015-05-02;9;1230;541
2015-05-02;10;1230;659
2015-05-02;11;1230;926
2015-05-02;12;1230;934
2015-05-02;13;1230;919
2015-05-02;14;1230;953
2015-05-02;15;1230;936
2015-05-02;16;1230;795
2015-05-02;17;1230;878
2015-05-02;18;1230;1081
2015-05-02;19;1230;1161
2015-05-02;20;1230;1079
2015-05-02;21;1230;1016
2015-05-02;22;1230;1202
2015-05-02;23;1230;1044
2015-05-03;0;1230;839
2015-05-03;1;1230;818
2015-05-03;2;1230;666
2015-05-03;3;1230;531
2015-05-03;4;1230;349
2015-05-03;5;1230;183
2015-05-03;6;1230;174
2015-05-03;7;1230;186
2015-05-03;8;1230;262
2015-05-03;9;1230;351
2015-05-03;10;1230;507
2015-05-03;11;1230;714
2015-05-03;12;1230;773
2015-05-03;13;1230;828
2015-05-03;14;1230;846
2015-05-03;15;1230;760
2015-05-03;16;1230;766
2015-05-03;17;1230;871
2015-05-03;18;1230;973
2015-05-03;19;1230;873
2015-05-03;20;1230;810
2015-05-03;21;1230;646
2015-05-03;22;1230;569
2015-05-03;23;1230;542
2015-05-04;0;1230;317
2015-05-04;1;1230;193
2015-05-04;2;1230;107
2015-05-04;3;1230;75
2015-05-04;4;1230;88
2015-05-04;5;1230;130
2015-05-04;6;1230;328
2015-05-04;7;1230;604
2015-05-04;8;1230;888
2015-05-04;9;1230;975
2015-05-04;10;1230;853
2015-05-04;11;1230;936
2015-05-04;12;1230;1034
2015-05-04;13;1230;1062
2015-05-04;14;1230;1066
2015-05-04;15;1230;965
2015-05-04;16;1230;773
2015-05-04;17;1230;860
2015-05-04;18;1230;1172
2015-05-04;19;1230;1342
2015-05-04;20;1230;1255
2015-05-04;21;1230;1154
2015-05-04;22;1230;1009
2015-05-04;23;1230;735
2015-05-05;0;1230;471
2015-05-05;1;1230;271
2015-05-05;2;1230;159
2015-05-05;3;1230;65
2015-05-05;4;1230;77
2015-05-05;5;1230;116
2015-05-05;6;1230;357
2015-05-05;7;1230;671
2015-05-05;8;1230;1002
2015-05-05;9;1230;1092
2015-05-05;10;1230;1045
2015-05-05;11;1230;1152
2015-05-05;12;1230;1124
2015-05-05;13;1230;1130
2015-05-05;14;1230;1153
2015-05-05;15;1230;1008
2015-05-05;16;1230;805
2015-05-05;17;1230;825
2015-05-05;18;1230;1059
2015-05-05;19;1230;1116
2015-05-05;20;1230;1351
2015-05-05;21;1230;1185
2015-05-05;22;1230;1060
2015-05-05;23;1230;896
2015-05-06;0;1230;595
2015-05-06;1;1230;328
2015-05-06;2;1230;191
2015-05-06;3;1230;108
2015-05-06;4;1230;97
2015-05-06;5;1230;159
2015-05-06;6;1230;395
2015-05-06;7;1230;775
2015-05-06;8;1230;1134
2015-05-06;9;1230;1179
2015-05-06;10;1230;1166
2015-05-06;11;1230;1137
2015-05-06;12;1230;1201
2015-05-06;13;1230;1140
2015-05-06;14;1230;1120
2015-05-06;15;1230;925
2015-05-06;16;1230;661
2015-05-06;17;1230;741
2015-05-06;18;1230;1069
2015-05-06;19;1230;1365
2015-05-06;20;1230;1438
2015-05-06;21;1230;1258
2015-05-06;22;1230;1149
2015-05-06;23;1230;1078
2015-05-07;0;1230;601
2015-05-07;1;1230;345
2015-05-07;2;1230;197
2015-05-07;3;1230;120
2015-05-07;4;1230;137
2015-05-07;5;1230;179
2015-05-07;6;1230;359
2015-05-07;7;1230;757
2015-05-07;8;1230;1113
2015-05-07;9;1230;1112
2015-05-07;10;1230;1156
2015-05-07;11;1230;1125
2015-05-07;12;1230;1191
2015-05-07;13;1230;1075
2015-05-07;14;1230;1060
2015-05-07;15;1230;823
2015-05-07;16;1230;645
2015-05-07;17;1230;677
2015-05-07;18;1230;1039
2015-05-07;19;1230;1131
2015-05-07;20;1230;1215
2015-05-07;21;1230;1112
2015-05-07;22;1230;906
2015-05-07;23;1230;1140
2015-05-08;0;1230;894
2015-05-08;1;1230;527
2015-05-08;2;1230;301
2015-05-08;3;1230;208
2015-05-08;4;1230;165
2015-05-08;5;1230;170
2015-05-08;6;1230;372
2015-05-08;7;1230;605
2015-05-08;8;1230;897
2015-05-08;9;1230;916
2015-05-08;10;1230;956
2015-05-08;11;1230;1027
2015-05-08;12;1230;1014
2015-05-08;13;1230;937
2015-05-08;14;1230;942
2015-05-08;15;1230;771
2015-05-08;16;1230;543
2015-05-08;17;1230;589
2015-05-08;18;1230;836
2015-05-08;19;1230;1157
2015-05-08;20;1230;1195
2015-05-08;21;1230;1120
2015-05-08;22;1230;1138
2015-05-08;23;1230;1070
2015-05-09;0;1230;1000
2015-05-09;1;1230;740
2015-05-09;2;1230;510
2015-05-09;3;1230;401
2015-05-09;4;1230;322
2015-05-09;5;1230;196
2015-05-09;6;1230;192
2015-05-09;7;1230;219
2015-05-09;8;1230;393
2015-05-09;9;1230;536
2015-05-09;10;1230;715
2015-05-09;11;1230;870
2015-05-09;12;1230;854
2015-05-09;13;1230;925
2015-05-09;14;1230;852
2015-05-09;15;1230;883
2015-05-09;16;1230;729
2015-05-09;17;1230;884
2015-05-09;18;1230;1052
2015-05-09;19;1230;1103
2015-05-09;20;1230;809
2015-05-09;21;1230;780
2015-05-09;22;1230;993
2015-05-09;23;1230;902
2015-05-10;0;1230;876
2015-05-10;1;1230;778
2015-05-10;2;1230;566
2015-05-10;3;1230;387
2015-05-10;4;1230;307
2015-05-10;5;1230;146
2015-05-10;6;1230;156
2015-05-10;7;1230;225
2015-05-10;8;1230;290
2015-05-10;9;1230;388
2015-05-10;10;1230;588
2015-05-10;11;1230;763
2015-05-10;12;1230;740
2015-05-10;13;1230;853
2015-05-10;14;1230;895
2015-05-10;15;1230;744
2015-05-10;16;1230;739
2015-05-10;17;1230;870
2015-05-10;18;1230;1007
2015-05-10;19;1230;971
2015-05-10;20;1230;970
2015-05-10;21;1230;896
2015-05-10;22;1230;746
2015-05-10;23;1230;525
2015-05-11;0;1230;320
2015-05-11;1;1230;187
2015-05-11;2;1230;111
2015-05-11;3;1230;70
2015-05-11;4;1230;61
2015-05-11;5;1230;161
2015-05-11;6;1230;336
2015-05-11;7;1230;600
2015-05-11;8;1230;944
2015-05-11;9;1230;937
2015-05-11;10;1230;991
2015-05-11;11;1230;987
2015-05-11;12;1230;1027
2015-05-11;13;1230;1062
2015-05-11;14;1230;1124
2015-05-11;15;1230;943
2015-05-11;16;1230;710
2015-05-11;17;1230;855
2015-05-11;18;1230;1139
2015-05-11;19;1230;1357
2015-05-11;20;1230;1258
2015-05-11;21;1230;1182
2015-05-11;22;1230;1027
2015-05-11;23;1230;655
2015-05-12;0;1230;482
2015-05-12;1;1230;285
2015-05-12;2;1230;126
2015-05-12;3;1230;87
2015-05-12;4;1230;85
2015-05-12;5;1230;127
2015-05-12;6;1230;332
2015-05-12;7;1230;653
2015-05-12;8;1230;1036
2015-05-12;9;1230;1053
2015-05-12;10;1230;995
2015-05-12;11;1230;1121
2015-05-12;12;1230;1082
2015-05-12;13;1230;1081
2015-05-12;14;1230;1130
2015-05-12;15;1230;890
2015-05-12;16;1230;679
2015-05-12;17;1230;739
2015-05-12;18;1230;962
2015-05-12;19;1230;1228
2015-05-12;20;1230;1287
2015-05-12;21;1230;1133
2015-05-12;22;1230;1031
2015-05-12;23;1230;966
2015-05-13;0;1230;524
2015-05-13;1;1230;324
2015-05-13;2;1230;160
2015-05-13;3;1230;113
2015-05-13;4;1230;99
2015-05-13;5;1230;142
2015-05-13;6;1230;333
2015-05-13;7;1230;660
2015-05-13;8;1230;1088
2015-05-13;9;1230;1069
2015-05-13;10;1230;1082
2015-05-13;11;1230;1097
2015-05-13;12;1230;1046
2015-05-13;13;1230;994
2015-05-13;14;1230;1020
2015-05-13;15;1230;848
2015-05-13;16;1230;630
2015-05-13;17;1230;620
2015-05-13;18;1230;854
2015-05-13;19;1230;1009
2015-05-13;20;1230;1031
2015-05-13;21;1230;1069
2015-05-13;22;1230;1025
2015-05-13;23;1230;1150
2015-05-14;0;1230;769
2015-05-14;1;1230;384
2015-05-14;2;1230;212
2015-05-14;3;1230;136
2015-05-14;4;1230;137
2015-05-14;5;1230;168
2015-05-14;6;1230;397
2015-05-14;7;1230;724
2015-05-14;8;1230;1055
2015-05-14;9;1230;1034
2015-05-14;10;1230;1092
2015-05-14;11;1230;1121
2015-05-14;12;1230;1067
2015-05-14;13;1230;1002
2015-05-14;14;1230;909
2015-05-14;15;1230;721
2015-05-14;16;1230;510
2015-05-14;17;1230;517
2015-05-14;18;1230;760
2015-05-14;19;1230;867
2015-05-14;20;1230;888
2015-05-14;21;1230;961
2015-05-14;22;1230;766
2015-05-14;23;1230;925
2015-05-15;0;1230;902
2015-05-15;1;1230;534
2015-05-15;2;1230;322
2015-05-15;3;1230;217
2015-05-15;4;1230;185
2015-05-15;5;1230;175
2015-05-15;6;1230;320
2015-05-15;7;1230;564
2015-05-15;8;1230;893
2015-05-15;9;1230;899
2015-05-15;10;1230;958
2015-05-15;11;1230;996
2015-05-15;12;1230;810
2015-05-15;13;1230;703
2015-05-15;14;1230;746
2015-05-15;15;1230;627
2015-05-15;16;1230;466
2015-05-15;17;1230;556
2015-05-15;18;1230;778
2015-05-15;19;1230;974
2015-05-15;20;1230;1090
2015-05-15;21;1230;1086
2015-05-15;22;1230;1147
2015-05-15;23;1230;1119
2015-05-16;0;1230;1059
2015-05-16;1;1230;870
2015-05-16;2;1230;651
2015-05-16;3;1230;403
2015-05-16;4;1230;318
2015-05-16;5;1230;171
2015-05-16;6;1230;191
2015-05-16;7;1230;256
2015-05-16;8;1230;423
2015-05-16;9;1230;583
2015-05-16;10;1230;772
2015-05-16;11;1230;837
2015-05-16;12;1230;857
2015-05-16;13;1230;820
2015-05-16;14;1230;845
2015-05-16;15;1230;901
2015-05-16;16;1230;705
2015-05-16;17;1230;694
2015-05-16;18;1230;886
2015-05-16;19;1230;887
2015-05-16;20;1230;834
2015-05-16;21;1230;907
2015-05-16;22;1230;940
2015-05-16;23;1230;1003
2015-05-17;0;1230;886
2015-05-17;1;1230;771
2015-05-17;2;1230;621
2015-05-17;3;1230;450
2015-05-17;4;1230;328
2015-05-17;5;1230;155
2015-05-17;6;1230;155
2015-05-17;7;1230;209
2015-05-17;8;1230;337
2015-05-17;9;1230;514
2015-05-17;10;1230;692
2015-05-17;11;1230;808
2015-05-17;12;1230;906
2015-05-17;13;1230;799
2015-05-17;14;1230;852
2015-05-17;15;1230;788
2015-05-17;16;1230;674
2015-05-17;17;1230;782
2015-05-17;18;1230;876
2015-05-17;19;1230;1045
2015-05-17;20;1230;892
2015-05-17;21;1230;831
2015-05-17;22;1230;678
2015-05-17;23;1230;536
2015-05-18;0;1230;387
2015-05-18;1;1230;208
2015-05-18;2;1230;101
2015-05-18;3;1230;89
2015-05-18;4;1230;104
2015-05-18;5;1230;145
2015-05-18;6;1230;346
2015-05-18;7;1230;612
2015-05-18;8;1230;860
2015-05-18;9;1230;1003
2015-05-18;10;1230;946
2015-05-18;11;1230;995
2015-05-18;12;1230;992
2015-05-18;13;1230;1036
2015-05-18;14;1230;1049
2015-05-18;15;1230;897
2015-05-18;16;1230;665
2015-05-18;17;1230;808
2015-05-18;18;1230;953
2015-05-18;19;1230;1207
2015-05-18;20;1230;1234
2015-05-18;21;1230;1122
2015-05-18;22;1230;1103
2015-05-18;23;1230;978
2015-05-19;0;1230;567
2015-05-19;1;1230;322
2015-05-19;2;1230;209
2015-05-19;3;1230;106
2015-05-19;4;1230;100
2015-05-19;5;1230;150
2015-05-19;6;1230;335
2015-05-19;7;1230;747
2015-05-19;8;1230;1076
2015-05-19;9;1230;1167
2015-05-19;10;1230;1070
2015-05-19;11;1230;1116
2015-05-19;12;1230;1120
2015-05-19;13;1230;1055
2015-05-19;14;1230;1113
2015-05-19;15;1230;870
2015-05-19;16;1230;634
2015-05-19;17;1230;767
2015-05-19;18;1230;1004
2015-05-19;19;1230;1308
2015-05-19;20;1230;1270
2015-05-19;21;1230;1213
2015-05-19;22;1230;962
2015-05-19;23;1230;1052
2015-05-20;0;1230;734
2015-05-20;1;1230;369
2015-05-20;2;1230;176
2015-05-20;3;1230;126
2015-05-20;4;1230;126
2015-05-20;5;1230;155
2015-05-20;6;1230;337
2015-05-20;7;1230;713
2015-05-20;8;1230;1055
2015-05-20;9;1230;1085
2015-05-20;10;1230;1038
2015-05-20;11;1230;1035
2015-05-20;12;1230;1126
2015-05-20;13;1230;962
2015-05-20;14;1230;954
2015-05-20;15;1230;767
2015-05-20;16;1230;591
2015-05-20;17;1230;593
2015-05-20;18;1230;846
2015-05-20;19;1230;1008
2015-05-20;20;1230;1118
2015-05-20;21;1230;982
2015-05-20;22;1230;968
2015-05-20;23;1230;1106
2015-05-21;0;1230;676
2015-05-21;1;1230;425
2015-05-21;2;1230;240
2015-05-21;3;1230;130
2015-05-21;4;1230;145
2015-05-21;5;1230;141
2015-05-21;6;1230;359
2015-05-21;7;1230;682
2015-05-21;8;1230;928
2015-05-21;9;1230;1073
2015-05-21;10;1230;1004
2015-05-21;11;1230;1107
2015-05-21;12;1230;1102
2015-05-21;13;1230;991
2015-05-21;14;1230;976
2015-05-21;15;1230;859
2015-05-21;16;1230;519
2015-05-21;17;1230;578
2015-05-21;18;1230;809
2015-05-21;19;1230;966
2015-05-21;20;1230;962
2015-05-21;21;1230;1089
2015-05-21;22;1230;1002
2015-05-21;23;1230;1124
2015-05-22;0;1230;861
2015-05-22;1;1230;481
2015-05-22;2;1230;322
2015-05-22;3;1230;213
2015-05-22;4;1230;178
2015-05-22;5;1230;169
2015-05-22;6;1230;296
2015-05-22;7;1230;516
2015-05-22;8;1230;688
2015-05-22;9;1230;834
2015-05-22;10;1230;902
2015-05-22;11;1230;891
2015-05-22;12;1230;1006
2015-05-22;13;1230;905
2015-05-22;14;1230;813
2015-05-22;15;1230;657
2015-05-22;16;1230;601
2015-05-22;17;1230;707
2015-05-22;18;1230;1051
2015-05-22;19;1230;1175
2015-05-22;20;1230;936
2015-05-22;21;1230;912
2015-05-22;22;1230;1153
2015-05-22;23;1230;1002
2015-05-23;0;1230;907
2015-05-23;1;1230;607
2015-05-23;2;1230;447
2015-05-23;3;1230;349
2015-05-23;4;1230;266
2015-05-23;5;1230;147
2015-05-23;6;1230;167
2015-05-23;7;1230;210
2015-05-23;8;1230;289
2015-05-23;9;1230;455
2015-05-23;10;1230;594
2015-05-23;11;1230;714
2015-05-23;12;1230;882
2015-05-23;13;1230;852
2015-05-23;14;1230;776
2015-05-23;15;1230;835
2015-05-23;16;1230;788
2015-05-23;17;1230;871
2015-05-23;18;1230;933
2015-05-23;19;1230;1054
2015-05-23;20;1230;818
2015-05-23;21;1230;852
2015-05-23;22;1230;1016
2015-05-23;23;1230;963
2015-05-24;0;1230;833
2015-05-24;1;1230;668
2015-05-24;2;1230;439
2015-05-24;3;1230;345
2015-05-24;4;1230;275
2015-05-24;5;1230;134
2015-05-24;6;1230;111
2015-05-24;7;1230;194
2015-05-24;8;1230;213
2015-05-24;9;1230;402
2015-05-24;10;1230;568
2015-05-24;11;1230;696
2015-05-24;12;1230;796
2015-05-24;13;1230;819
2015-05-24;14;1230;843
2015-05-24;15;1230;770
2015-05-24;16;1230;763
2015-05-24;17;1230;901
2015-05-24;18;1230;908
2015-05-24;19;1230;891
2015-05-24;20;1230;766
2015-05-24;21;1230;783
2015-05-24;22;1230;788
2015-05-24;23;1230;730
2015-05-25;0;1230;648
2015-05-25;1;1230;429
2015-05-25;2;1230;298
2015-05-25;3;1230;207
2015-05-25;4;1230;193
2015-05-25;5;1230;100
2015-05-25;6;1230;132
2015-05-25;7;1230;153
2015-05-25;8;1230;197
2015-05-25;9;1230;380
2015-05-25;10;1230;490
2015-05-25;11;1230;582
2015-05-25;12;1230;762
2015-05-25;13;1230;731
2015-05-25;14;1230;770
2015-05-25;15;1230;754
2015-05-25;16;1230;742
2015-05-25;17;1230;916
2015-05-25;18;1230;927
2015-05-25;19;1230;929
2015-05-25;20;1230;746
2015-05-25;21;1230;760
2015-05-25;22;1230;707
2015-05-25;23;1230;490
2015-05-26;0;1230;272
2015-05-26;1;1230;155
2015-05-26;2;1230;95
2015-05-26;3;1230;59
2015-05-26;4;1230;67
2015-05-26;5;1230;124
2015-05-26;6;1230;357
2015-05-26;7;1230;543
2015-05-26;8;1230;827
2015-05-26;9;1230;953
2015-05-26;10;1230;851
2015-05-26;11;1230;992
2015-05-26;12;1230;1066
2015-05-26;13;1230;1169
2015-05-26;14;1230;1142
2015-05-26;15;1230;1042
2015-05-26;16;1230;744
2015-05-26;17;1230;888
2015-05-26;18;1230;1234
2015-05-26;19;1230;1299
2015-05-26;20;1230;1246
2015-05-26;21;1230;1234
2015-05-26;22;1230;1059
2015-05-26;23;1230;758
2015-05-27;0;1230;441
2015-05-27;1;1230;279
2015-05-27;2;1230;125
2015-05-27;3;1230;105
2015-05-27;4;1230;88
2015-05-27;5;1230;120
2015-05-27;6;1230;383
2015-05-27;7;1230;658
2015-05-27;8;1230;952
2015-05-27;9;1230;1131
2015-05-27;10;1230;1035
2015-05-27;11;1230;1110
2015-05-27;12;1230;1092
2015-05-27;13;1230;984
2015-05-27;14;1230;1044
2015-05-27;15;1230;863
2015-05-27;16;1230;630
2015-05-27;17;1230;638
2015-05-27;18;1230;846
2015-05-27;19;1230;873
2015-05-27;20;1230;862
2015-05-27;21;1230;1064
2015-05-27;22;1230;1248
2015-05-27;23;1230;919
2015-05-28;0;1230;580
2015-05-28;1;1230;302
2015-05-28;2;1230;161
2015-05-28;3;1230;126
2015-05-28;4;1230;100
2015-05-28;5;1230;136
2015-05-28;6;1230;368
2015-05-28;7;1230;696
2015-05-28;8;1230;953
2015-05-28;9;1230;1104
2015-05-28;10;1230;961
2015-05-28;11;1230;1113
2015-05-28;12;1230;1085
2015-05-28;13;1230;1074
2015-05-28;14;1230;967
2015-05-28;15;1230;832
2015-05-28;16;1230;553
2015-05-28;17;1230;632
2015-05-28;18;1230;884
2015-05-28;19;1230;971
2015-05-28;20;1230;1157
2015-05-28;21;1230;1084
2015-05-28;22;1230;826
2015-05-28;23;1230;905
2015-05-29;0;1230;898
2015-05-29;1;1230;542
2015-05-29;2;1230;296
2015-05-29;3;1230;212
2015-05-29;4;1230;156
2015-05-29;5;1230;167
2015-05-29;6;1230;360
2015-05-29;7;1230;587
2015-05-29;8;1230;805
2015-05-29;9;1230;979
2015-05-29;10;1230;896
2015-05-29;11;1230;984
2015-05-29;12;1230;911
2015-05-29;13;1230;777
2015-05-29;14;1230;844
2015-05-29;15;1230;671
2015-05-29;16;1230;552
2015-05-29;17;1230;610
2015-05-29;18;1230;964
2015-05-29;19;1230;1169
2015-05-29;20;1230;1107
2015-05-29;21;1230;1053
2015-05-29;22;1230;1098
2015-05-29;23;1230;977
2015-05-30;0;1230;940
2015-05-30;1;1230;847
2015-05-30;2;1230;609
2015-05-30;3;1230;421
2015-05-30;4;1230;352
2015-05-30;5;1230;155
2015-05-30;6;1230;200
2015-05-30;7;1230;260
2015-05-30;8;1230;364
2015-05-30;9;1230;576
2015-05-30;10;1230;737
2015-05-30;11;1230;794
2015-05-30;12;1230;846
2015-05-30;13;1230;920
2015-05-30;14;1230;827
2015-05-30;15;1230;778
2015-05-30;16;1230;667
2015-05-30;17;1230;708
2015-05-30;18;1230;902
2015-05-30;19;1230;883
2015-05-30;20;1230;860
2015-05-30;21;1230;861
2015-05-30;22;1230;1068
2015-05-30;23;1230;999
2015-05-31;0;1230;957
2015-05-31;1;1230;747
2015-05-31;2;1230;559
2015-05-31;3;1230;449
2015-05-31;4;1230;322
2015-05-31;5;1230;151
2015-05-31;6;1230;152
2015-05-31;7;1230;186
2015-05-31;8;1230;277
2015-05-31;9;1230;421
2015-05-31;10;1230;506
2015-05-31;11;1230;528
2015-05-31;12;1230;474
2015-05-31;13;1230;472
2015-05-31;14;1230;445
2015-05-31;15;1230;370
2015-05-31;16;1230;308
2015-05-31;17;1230;288
2015-05-31;18;1230;347
2015-05-31;19;1230;468
2015-05-31;20;1230;577
2015-05-31;21;1230;578
2015-05-31;22;1230;527
2015-05-31;23;1230;438
